Invoice #,Client Name,Invoice Date,Total Amount (SAR),Item & Description
INV-000001,Captain America Contracting Co.,22-Mar-44,"103,097.50",Supply & installation of roof marine plywood
INV-000004,Iron Man Resin Factory,29-Mar-44,"489,292.23","Mezzanine floor, lab work, interlocking work, underground fuel tanks, desert cooler"
INV-000005,Aladdin Minecraft Co. Ltd.,30-Mar-44,"625,416.00","General requirements, masonry work, metal work, thermal & moisture protection, doors & windows, curtain wall, finishes, base finishes, wall finishes, pattern on aluminum profile, gypsum wall, specialists, mechanical hvac work, plumbing work, electrical, fire alarm & fighting, lighting, telephone & data systems, general branding & finishing"
INV-000006,Avengers Saudi Company,03-Apr-44,"20,493.00","ISO Panel Cutting (125), ISO Doors and Windows cutting"
INV-000007,Naruto Real Estate Company,14-Apr-44,"120,313.00",Villa fitout renovation
INV-000008,SpongeBob Interiors L.L.C.,12-May-44,"24,150.00",Installation work
INV-000030,Homer Real Estate Company,04-Jun-44,"60,375.00","Aluminum tube, door work"
INV-000031,Ursula Nemo Electromechanical Co.,11-Jun-44,"10,350.00","Window, floor, door, temp gypsum board"
INV-000033,SpongeBob Interiors L.L.C.,04-Jul-44,"20,585.00",Installation work
INV-000038,Ursula Nemo Electromechanical Co.,01-Aug-44,"98,043.25",Hospital renovation
INV-000041,Aladdin Minecraft Co. Ltd.,13-Aug-44,"58,500.62",Maintenance work
INV-000052,Simba Plastic Factory Co.,24-Aug-44,"87,906.00",Supply and install of break and asphalt work
INV-000053,Ursula Nemo Electromechanical Co.,28-Aug-44,"57,042.88",Supply & installation in hospital 
INV-000054,Ursula Nemo Electromechanical Co.,02-Sept-44,"14,921.00",Kitchen cabinet & additional work
INV-000057,Aladdin Minecraft Co. Ltd.,25-Sept-44,"15,000.00",Maintenance work
